added_to_playlist_time,artist_name,artist_image,unique_artist_id,release_date,song_name,song_length_seconds,song_explicit,song_linkId,song_popularity,album_name,spotify_uri_album,spotify_track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,tempo
2018-10-15T23:11:01Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,FLIP THE SWITCH (feat. Drake),156.195,True,https://open.spotify.com/track/1rlIrbWboTRGeKfHhgbJRZ,65,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,1rlIrbWboTRGeKfHhgbJRZ,0.853,0.637,3,-5.924,0,0.331,0.129,0.0,0.267,0.496,4,86.048
2018-10-15T23:10:30Z,Young Scooter,https://i.scdn.co/image/ab67616d00001e0202e166bc77bcd022351f7125,spotify:artist:4cmA2QDPdzh8W2ytpyUGes,2018-10-12,New Hunnids (feat. Yung Bans & Gunna),223.064,True,https://open.spotify.com/track/5NPOmOXL78NQ3GIy08ufjD,24,New Hunnids (feat. Yung Bans & Gunna),spotify:album:0j9MJ1BLtZg1rVt45DsaHT,5NPOmOXL78NQ3GIy08ufjD,0.792,0.704,2,-5.637,1,0.179,0.0275,2.6e-05,0.116,0.38,4,154.938
2018-10-15T23:10:14Z,MihTy,https://i.scdn.co/image/ab67616d00001e02e5e0f36fa9772c126455bd3d,spotify:artist:3UrWALysNWwb24BnlAzSwm,2018-10-12,Goin Thru Some Thangz,185.2,True,https://open.spotify.com/track/1V9iz4duKiJx0IenKsPleZ,0,Goin Thru Some Thangz,spotify:album:3pUlxvGaM6KYUBZgpLwK1x,1V9iz4duKiJx0IenKsPleZ,0.777,0.624,6,-5.094,1,0.0681,0.254,3.23e-05,0.0955,0.366,4,145.099
2018-10-15T23:10:03Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,SWING (feat. Normani & Davido),303.888,True,https://open.spotify.com/track/5KDfDLEaGAQ2uyuzsWByVa,40,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,5KDfDLEaGAQ2uyuzsWByVa,0.76,0.603,5,-5.898,1,0.12,0.372,0.0,0.112,0.515,4,97.887
2018-10-15T23:09:59Z,Shy Glizzy,https://i.scdn.co/image/ab67616d00001e028da54d0cd2c8d92a455bd791,spotify:artist:1DvtabXAjfrMihPP6JQdHs,2018-10-05,Super Freak (feat. Lil Uzi Vert),232.091,True,https://open.spotify.com/track/4BWxam2NKT4KKu7crGUVo3,31,Fully Loaded,spotify:album:6nakKOO8Qfv0xU24BvEXnn,4BWxam2NKT4KKu7crGUVo3,0.785,0.864,6,-5.364,0,0.0729,0.00244,0.0,0.0545,0.813,4,139.975
2018-10-15T23:09:53Z,Kodak Black,https://i.scdn.co/image/ab67616d00001e028a5a04dbb1c7a3242fdfdfe8,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,2018-10-12,ZEZE (feat. Travis Scott & Offset),228.653,True,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,24,ZEZE (feat. Travis Scott & Offset),spotify:album:7DER9glBF0SYJU2R54Ipte,7l3E7lcozEodtVsSTCkcaA,0.861,0.637,8,-5.692,0,0.24,0.0515,3.35e-06,0.0967,0.474,4,98.044
2018-10-12T22:10:11Z,Quavo,https://i.scdn.co/image/ab67616d00001e02a1fc738279f01eb8086fc44d,spotify:artist:0VRj0yCOv2FXJNP47XQnx5,2018-10-12,PASS OUT (feat. 21 Savage),224.903,True,https://open.spotify.com/track/3edzl4zvKFi0D3iuF6cs2f,50,QUAVO HUNCHO,spotify:album:2DjfazR5N3TgXBQ7oVALA1,3edzl4zvKFi0D3iuF6cs2f,0.917,0.786,11,-4.921,0,0.208,0.0403,0.0,0.195,0.441,4,143.038
2018-10-11T01:09:23Z,YoungBoy Never Broke Again,https://i.scdn.co/image/ab67616d00001e02ec60f466ef6941948c219b74,spotify:artist:7wlFDEWiM5OoIAt8RSli8b,2018-09-21,Murda (feat. Trippie Redd),183.681,True,https://open.spotify.com/track/2CEXhYY4cGmjyTyZJw7Wo0,54,Decided,spotify:album:72g63eJx0aLyg2T0DCoTEC,2CEXhYY4cGmjyTyZJw7Wo0,0.691,0.566,4,-5.213,0,0.227,0.28,0.0,0.106,0.291,4,147.982
2018-10-11T01:09:19Z,Tyga,https://i.scdn.co/image/ab67616d00001e023d35bfe03a7dcc9e5e07d5ac,spotify:artist:5LHRHt1k9lMyONurDHEdrp,2018-09-18,Dip (feat. Nicki Minaj),195.991,True,https://open.spotify.com/track/2qfR91VvO7hRp4IajDT08h,48,Dip (feat. Nicki Minaj),spotify:album:5oAJLGCjjlaa4EM4Rxmjza,2qfR91VvO7hRp4IajDT08h,0.885,0.543,2,-6.338,1,0.2,0.0311,0.0,0.154,0.43,4,99.026
2018-10-11T01:09:02Z,Lil Wayne,https://i.scdn.co/image/ab67616d00001e02bb1138165ad4ec2306f4e886,spotify:artist:55Aa2cqylxrFIXC767Z865,2018-09-28,Let It Fly (feat. Travis Scott),186.872,True,https://open.spotify.com/track/0CBQ0m3mufWH75LTYB3s6h,57,Tha Carter V,spotify:album:50yFYgKdwJANZ5O9MIbMkg,0CBQ0m3mufWH75LTYB3s6h,0.902,0.819,1,-3.321,1,0.316,0.041,0.0,0.106,0.745,4,89.0
